Country,Year,Species_Type,Count,Source
American Samoa,2020,Threatened Species: Vertebrates (number),32.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2021,Threatened Species: Vertebrates (number),34.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2022,Threatened Species: Vertebrates (number),37.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2023,Threatened Species: Vertebrates (number),40.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2004,Threatened Species: Invertebrates (number),5.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2010,Threatened Species: Invertebrates (number),57.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2015,Threatened Species: Invertebrates (number),64.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2020,Threatened Species: Invertebrates (number),65.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2021,Threatened Species: Invertebrates (number),66.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2022,Threatened Species: Invertebrates (number),66.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2023,Threatened Species: Invertebrates (number),66.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2004,Threatened Species: Plants (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2010,Threatened Species: Plants (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2015,Threatened Species: Plants (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2020,Threatened Species: Plants (number),2.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2021,Threatened Species: Plants (number),2.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2022,Threatened Species: Plants (number),2.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2023,Threatened Species: Plants (number),3.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2004,Threatened Species: Total (number),24.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2010,Threatened Species: Total (number),79.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2015,Threatened Species: Total (number),90.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2020,Threatened Species: Total (number),99.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2021,Threatened Species: Total (number),102.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2022,Threatened Species: Total (number),105.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
American Samoa,2023,Threatened Species: Total (number),109.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
